"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: randomSourceName","Param: theta"
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,9451.657957,191.077353,"us/op",SPLIT_MIX_64,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,9190.680060,56.261997,"us/op",SPLIT_MIX_64,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,10587.620047,70.469172,"us/op",KISS,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,10399.242400,93.253000,"us/op",KISS,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,11233.193948,46.250003,"us/op",WELL_1024_A,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,11166.386559,179.459794,"us/op",WELL_1024_A,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,13752.629780,112.698348,"us/op",WELL_44497_B,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaRepeatUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,13504.671473,50.227457,"us/op",WELL_44497_B,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaRepeatUse_LargeThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,9233.770266,41.054131,"us/op",SPLIT_MIX_64,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaRepeatUse_LargeThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,9036.792620,38.474010,"us/op",SPLIT_MIX_64,60.9
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaRepeatUse_LargeThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,10387.912725,66.386290,"us/op",KISS,2.456
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runLargeThetaRepeatUse_LargeThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,10257.660913,66.916963,"us/op",KISS,60.9
