"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: mean","Param: randomSourceName"
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_LargeMeanPoissonSampler","avgt",1,50,239400.221765,6205.438142,"us/op",40.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_LargeMeanPoissonSampler","avgt",1,50,243963.621652,5879.949003,"us/op",40.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_LargeMeanPoissonSampler","avgt",1,50,186434.792834,6508.283345,"us/op",40.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_LargeMeanPoissonSampler","avgt",1,50,244086.839077,7237.048646,"us/op",60.9,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_LargeMeanPoissonSampler","avgt",1,50,252949.748610,280.272073,"us/op",60.9,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_LargeMeanPoissonSampler","avgt",1,50,190134.245541,6632.171335,"us/op",60.9,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_LargeMeanPoissonSampler","avgt",1,50,226663.154934,5744.613562,"us/op",142.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_LargeMeanPoissonSampler","avgt",1,50,230412.991499,5748.937037,"us/op",142.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_LargeMeanPoissonSampler","avgt",1,50,176621.859319,3251.774567,"us/op",142.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_PoissonSampler","avgt",1,50,522556.933720,377.678903,"us/op",40.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_PoissonSampler","avgt",1,50,510261.339270,562.374827,"us/op",40.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_PoissonSampler","avgt",1,50,445781.883533,14128.244352,"us/op",40.3,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_PoissonSampler","avgt",1,50,534235.256550,355.066093,"us/op",60.9,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_PoissonSampler","avgt",1,50,536873.482440,612.696870,"us/op",60.9,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_PoissonSampler","avgt",1,50,452590.844767,13274.628449,"us/op",60.9,SPLIT_MIX_64
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_PoissonSampler","avgt",1,50,514774.290880,269.897221,"us/op",142.3,WELL_19937_C
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_PoissonSampler","avgt",1,50,515860.153330,8158.016291,"us/op",142.3,WELL_44497_B
"org.apache.commons.rng.sampling.distribution.PoissonSamplersPerformance.runLargeMeanRepeatUse_PoissonSampler","avgt",1,50,444526.559107,12660.548337,"us/op",142.3,SPLIT_MIX_64
